full_name,biobank_samples,class
Dasyuroides byrnei -,13,Mammalia
Dasyurus hallucatus -,1,Mammalia
Dasyurus maculatus -,1,Mammalia
Daubentonia madagascariensis -,3,Mammalia
Daudebardia rufa,1,Gastropoda
Decapoda,2,Malacostraca
Delphinus� delphis -,5,Mammalia
Demetrias atricapillus,1,Insecta
Dendrobaena attemsi,1,Clitellata
Dendrobaena veneta,1,Clitellata
Dendrocopos major -,7,Aves
Dendrodoa grossularia,1,Ascidiacea
Dendrodrilus rubidus,2,Oligochaeta
Dendrolagus dorianus dorianus,3,Mammalia
Denticollis linearis,1,Insecta
Denticucullus pygmina,2,Insecta
Depressaria radiella,1,Insecta
Deroceras reticulatum,3,Gastropoda
Derogenes varicus,4,Trematoda
Dexamine spinosa,2,Malacostraca
Diachrysia chrysitis,1,Insecta
Diaglyptidea conformis,1,Insecta
Diaphus effulgens,2,Actinopterygii
Diaphus hudsoni,8,Actinopterygii
Diaphus ostenfeldi,2,Actinopterygii
Diaphus sp.,2,Actinopterygii
Diarsia dahlii,1,Insecta
Diastylis rathkei,1,Malacostraca
Dicerorhinus sumatrensis -,2,Mammalia
Dicerorhinus sumatrensis sumatrensis,1,Mammalia
Diceros bicornis -,2,Mammalia
Diceros bicornis michaelis,1,Mammalia
Dichonia aprilina,1,Insecta
Dicranocephalus agilis,3,Insecta
Dicranomyia morio,1,Insecta
Dicrostonyx Dicrostonyx -,1,Mammalia
Dicrostonyx torquatus,8,Mammalia
Dicrostonyx torquatus -,7,Mammalia
Dictyna arundinacea,1,Arachnida
Dictyna civica,3,Arachnida
Dicycla oo,1,Insecta
Didelphis virginiana,5,Mammalia
Dikerogammarus haemobaphes,2,Malacostraca
Diplophos taenia,1,Actinopterygii
Diptera,2,Insecta
Discoteuthis discus,1,Cephalopoda
Discus rotundatus,2,Gastropoda
Dolichopteryx binocularis,2,Actinopterygii
Dolichopus trivialis,1,Insecta
Dolichotis patagonum -,7,Mammalia
Dolomedes fimbriatus,1,Arachnida
Donacia marginata,1,Insecta
Dorcopsis hageri -,4,Mammalia
Drassodes cupreus,1,Arachnida
Drepanepteryx phalaenoides,1,Insecta
Dromaius novaehollandiae,10,Aves
Dryocoetes villosus,1,Insecta
Dryonastes courtoisi -,2,Aves
Dryonastes courtoisi simaoensis,2,Aves
Dryonastes monachus -,1,Aves
Dryophilocoris flavoquadrimaculatus,1,Insecta
Dysdera crocata,1,Arachnida
Dysdera erythrina,1,Arachnida
Dysmachus trigonus,2,Insecta
Dyspetes luteomarginatus,2,Insecta
Dysstroma citrata citrata,3,Insecta
Ebulea crocealis,1,Insecta
Ecdyonurus venosus,2,Insecta
Echinocardium cordatum,2,Echinoidea
Echinocardium flavescens,2,Echinoidea
Echinops telfairi -,7,Mammalia
Echinus esculentus,2,Echinoidea
Echiostoma barbatum,1,Actinopterygii
Ecphylus silesiacus,1,Insecta
Ectoedemia heringella,1,Insecta
Ectreposebastes imus,11,Actinopterygii
Eidolon helvum -,1,Mammalia
Eilema caniola,1,Insecta
Eisenia andrei,4,Clitellata
Eisenia fetida,8,Clitellata
